arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,5000,1,5000,0,0,True,False,True,True,True,True,True,16,129.7078
gfx950,torch.bfloat16,128,128,64,32,16,1000,1,1000,0,0,True,False,True,True,True,True,True,16,30.9338
gfx950,torch.bfloat16,128,128,64,32,16,15000,3,5000,5000,5000,True,False,True,True,True,True,True,64,278.8136
gfx950,torch.bfloat16,128,128,64,32,16,10000,1,10000,0,0,True,False,True,True,True,True,True,16,353.3305
gfx950,torch.bfloat16,128,128,64,32,16,7000,7,1000,1000,1000,True,False,True,True,True,True,True,64,102.0178
gfx950,torch.bfloat16,128,128,64,32,16,20000,20,1000,1000,1000,True,False,True,True,True,True,True,64,269.6711
gfx950,torch.bfloat16,128,128,64,32,16,30000,3,10000,10000,10000,True,False,True,True,True,True,True,64,544.5409
gfx950,torch.bfloat16,128,128,64,32,16,10000,2,5000,0,5000,True,False,True,True,True,True,True,32,230.1211
gfx950,torch.bfloat16,128,128,64,32,16,3000,3,1000,1000,1000,True,False,True,True,True,True,True,64,53.1052
gfx950,torch.bfloat16,128,128,64,32,16,20000,2,10000,0,10000,True,False,True,True,True,True,True,32,450.8109
gfx950,torch.bfloat16,128,128,64,32,16,32767,4,10000,10000,2767,True,False,True,True,True,True,True,64,549.7977
gfx950,torch.bfloat16,128,128,64,32,16,32764,4,7233,10000,5531,True,False,True,True,True,True,True,64,547.6081
gfx950,torch.bfloat16,128,128,64,32,16,30000,6,5000,5000,5000,True,False,True,True,True,True,True,64,426.1722
gfx950,torch.bfloat16,128,128,64,32,16,32764,7,5000,5000,2764,True,False,True,True,True,True,True,64,432.0051
gfx950,torch.bfloat16,128,128,64,32,16,32764,4,10000,10000,2764,True,False,True,True,True,True,True,64,549.7073
gfx950,torch.bfloat16,128,128,64,32,16,4469,1,4469,0,0,True,False,True,True,True,True,True,16,115.7004
gfx950,torch.bfloat16,128,128,64,32,16,32767,7,5000,5000,2767,True,False,True,True,True,True,True,64,433.8731
gfx950,torch.bfloat16,128,128,64,32,16,32761,7,5000,5000,2761,True,False,True,True,True,True,True,64,432.2755
gfx950,torch.bfloat16,128,128,64,32,16,27236,6,2236,5000,5000,True,False,True,True,True,True,True,64,414.9257
gfx950,torch.bfloat16,128,128,64,32,16,10000,10,1000,1000,1000,True,False,True,True,True,True,True,64,169.1986
gfx950,torch.bfloat16,128,128,64,32,16,32763,4,10000,10000,2763,True,False,True,True,True,True,True,64,549.6601
