arch,dtype,K,V,BT,H,Hg,T_flat,N,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,2500,1,True,False,True,False,True,False,True,16,66.7271
gfx950,torch.bfloat16,128,128,64,32,16,60000,1,True,False,True,False,True,False,True,16,1979.6546
gfx950,torch.bfloat16,128,128,64,32,16,128000,1,True,False,True,False,True,False,True,16,4206.9017
gfx950,torch.bfloat16,128,128,64,16,8,2500,1,True,False,True,False,True,False,True,16,61.0943
gfx950,torch.bfloat16,128,128,64,16,8,60000,1,True,False,True,False,True,False,True,16,1791.5274
gfx950,torch.bfloat16,128,128,64,16,8,128000,1,True,False,True,False,True,False,True,16,3745.5971
gfx950,torch.bfloat16,128,128,64,64,16,2500,1,True,False,True,False,True,False,True,32,87.2241
gfx950,torch.bfloat16,128,128,64,64,16,60000,1,True,False,True,False,True,False,True,32,2639.6555
gfx950,torch.bfloat16,128,128,64,64,16,128000,1,True,False,True,False,True,False,True,32,5658.9137
gfx950,torch.bfloat16,128,128,64,32,8,2500,1,True,False,True,False,True,False,True,16,65.4045
gfx950,torch.bfloat16,128,128,64,32,8,60000,1,True,False,True,False,True,False,True,16,1961.4842
gfx950,torch.bfloat16,128,128,64,32,8,128000,1,True,False,True,False,True,False,True,16,4170.9599
gfx950,torch.bfloat16,128,128,64,16,4,32768,32,True,False,True,True,True,True,True,64,184.8999
gfx950,torch.bfloat16,128,128,64,16,4,32768,16,True,False,True,True,True,True,True,64,177.3788
gfx950,torch.bfloat16,128,128,64,16,4,32768,8,True,False,True,True,True,True,True,64,228.3708
gfx950,torch.bfloat16,128,128,64,16,4,32768,4,True,False,True,True,True,True,True,32,376.2264
gfx950,torch.bfloat16,128,128,64,8,2,32768,32,True,False,True,True,True,True,True,64,100.9331
gfx950,torch.bfloat16,128,128,64,8,2,32768,16,True,False,True,True,True,True,True,64,126.8799
gfx950,torch.bfloat16,128,128,64,8,2,32768,8,True,False,True,True,True,True,True,32,190.5056
gfx950,torch.bfloat16,128,128,64,8,2,32768,4,True,False,True,True,True,True,True,16,270.8578
gfx950,torch.bfloat16,128,128,64,32,16,1000,1,True,False,True,True,True,True,True,16,30.1834
gfx950,torch.bfloat16,128,128,64,32,16,5000,1,True,False,True,True,True,True,True,16,128.5631
gfx950,torch.bfloat16,128,128,64,32,16,10000,1,True,False,True,True,True,True,True,16,338.0731
gfx950,torch.bfloat16,128,128,64,32,16,5063,64,True,False,True,True,True,True,True,32,294.4261
gfx950,torch.bfloat16,128,128,64,32,16,1063,64,True,False,True,True,True,True,True,32,128.9751
gfx950,torch.bfloat16,128,128,64,32,16,5031,32,True,False,True,True,True,True,True,32,247.9919
gfx950,torch.bfloat16,128,128,64,32,16,32768,5,True,False,True,True,True,True,True,64,545.2758
gfx950,torch.bfloat16,128,128,64,32,16,32768,8,True,False,True,True,True,True,True,64,416.4725
gfx950,torch.bfloat16,128,128,64,32,16,32768,11,True,False,True,True,True,True,True,64,419.2781
gfx950,torch.bfloat16,128,128,64,32,16,1051,52,True,False,True,True,True,True,True,32,108.1123
gfx950,torch.bfloat16,128,128,64,32,16,32768,62,True,False,True,True,True,True,True,64,474.9540
gfx950,torch.bfloat16,128,128,64,32,16,1015,16,True,False,True,True,True,True,True,32,52.4989
gfx950,torch.bfloat16,128,128,64,32,16,15001,4,True,False,True,True,True,True,True,64,273.1298
gfx950,torch.bfloat16,128,128,64,32,16,10015,16,True,False,True,True,True,True,True,16,399.8690
gfx950,torch.bfloat16,128,128,64,32,16,5007,8,True,False,True,True,True,True,True,16,158.5923
gfx950,torch.bfloat16,128,128,64,32,16,1031,32,True,False,True,True,True,True,True,32,70.5103
gfx950,torch.bfloat16,128,128,64,32,16,7001,8,True,False,True,True,True,True,True,64,101.0052
gfx950,torch.bfloat16,128,128,64,32,16,20012,32,True,False,True,True,True,True,True,64,270.9337
gfx950,torch.bfloat16,128,128,64,32,16,30029,32,True,False,True,True,True,True,True,64,572.8290
gfx950,torch.bfloat16,128,128,64,32,16,5015,16,True,False,True,True,True,True,True,32,183.2134
gfx950,torch.bfloat16,128,128,64,32,16,10062,64,True,False,True,True,True,True,True,32,325.5569
gfx950,torch.bfloat16,128,128,64,32,16,1003,4,True,False,True,True,True,True,True,16,35.0466
gfx950,torch.bfloat16,128,128,64,32,16,3001,4,True,False,True,True,True,True,True,64,53.0445
gfx950,torch.bfloat16,128,128,64,32,16,20000,2,True,False,True,True,True,True,True,32,447.9697
gfx950,torch.bfloat16,128,128,64,32,16,20002,4,True,False,True,True,True,True,True,32,451.2602
gfx950,torch.bfloat16,128,128,64,32,16,10063,64,True,False,True,True,True,True,True,32,489.5555
gfx950,torch.bfloat16,128,128,64,32,16,30001,7,True,False,True,True,True,True,True,64,406.8860
gfx950,torch.bfloat16,128,128,64,32,16,30001,4,True,False,True,True,True,True,True,64,534.1668
gfx950,torch.bfloat16,128,128,64,32,16,10031,32,True,False,True,True,True,True,True,32,451.5346
gfx950,torch.bfloat16,128,128,64,32,16,1001,2,True,False,True,True,True,True,True,16,31.0658
gfx950,torch.bfloat16,128,128,64,32,16,4476,8,True,False,True,True,True,True,True,16,127.1422
gfx950,torch.bfloat16,128,128,64,32,16,32768,14,True,False,True,True,True,True,True,64,419.2197
gfx950,torch.bfloat16,128,128,64,32,16,27246,16,True,False,True,True,True,True,True,64,417.6998
gfx950,torch.bfloat16,128,128,64,32,16,10029,31,True,False,True,True,True,True,True,32,280.0356
gfx950,torch.bfloat16,128,128,64,32,16,1002,3,True,False,True,True,True,True,True,16,34.6275
gfx950,torch.bfloat16,128,128,64,32,16,10002,12,True,False,True,True,True,True,True,64,164.2204
gfx950,torch.bfloat16,128,128,64,32,16,30002,5,True,False,True,True,True,True,True,64,535.5645
gfx950,torch.bfloat16,128,128,64,32,16,32768,9,True,False,True,True,True,True,True,32,570.8267
gfx950,torch.bfloat16,128,128,64,32,16,32768,12,True,False,True,True,True,True,True,64,419.1718
gfx950,torch.bfloat16,128,128,64,32,16,32768,15,True,False,True,True,True,True,True,64,422.1334
gfx950,torch.bfloat16,128,128,64,32,16,11734,16,True,False,True,True,True,True,True,16,431.6909
gfx950,torch.bfloat16,128,128,64,32,16,30007,10,True,False,True,True,True,True,True,32,551.4655
gfx950,torch.bfloat16,128,128,64,32,16,32768,17,True,False,True,True,True,True,True,64,423.7606
gfx950,torch.bfloat16,128,128,64,32,16,32768,20,True,False,True,True,True,True,True,64,429.7887
gfx950,torch.bfloat16,128,128,64,32,16,2240,8,True,False,True,True,True,True,True,16,71.9720
gfx950,torch.bfloat16,128,128,64,32,16,12252,16,True,False,True,True,True,True,True,32,278.6947
gfx950,torch.bfloat16,128,128,64,32,16,15028,31,True,False,True,True,True,True,True,64,310.0175
gfx950,torch.bfloat16,128,128,64,32,16,32768,16,True,False,True,True,True,True,True,64,423.5069
gfx950,torch.bfloat16,128,128,64,32,16,11001,12,True,False,True,True,True,True,True,64,172.9637
gfx950,torch.bfloat16,128,128,64,32,16,7243,8,True,False,True,True,True,True,True,16,272.3890
gfx950,torch.bfloat16,128,128,64,32,16,32768,24,True,False,True,True,True,True,True,64,433.8168
gfx950,torch.bfloat16,128,128,64,32,16,32768,27,True,False,True,True,True,True,True,64,437.8559
gfx950,torch.bfloat16,128,128,64,32,16,32768,30,True,False,True,True,True,True,True,64,439.7818
gfx950,torch.bfloat16,128,128,64,32,16,23528,32,True,False,True,True,True,True,True,32,549.2743
gfx950,torch.bfloat16,128,128,64,32,16,30045,48,True,False,True,True,True,True,True,64,601.3158
gfx950,torch.bfloat16,128,128,64,32,16,5001,2,True,False,True,True,True,True,True,16,130.1255
gfx950,torch.bfloat16,128,128,64,32,16,30002,8,True,False,True,True,True,True,True,64,407.7652
gfx950,torch.bfloat16,128,128,64,32,16,15004,7,True,False,True,True,True,True,True,64,277.5034
gfx950,torch.bfloat16,128,128,64,32,16,32768,19,True,False,True,True,True,True,True,64,429.3311
gfx950,torch.bfloat16,128,128,64,32,16,32768,25,True,False,True,True,True,True,True,64,432.6103
gfx950,torch.bfloat16,128,128,64,32,16,32768,32,True,False,True,True,True,True,True,64,442.2536
gfx950,torch.bfloat16,128,128,64,32,16,32768,18,True,False,True,True,True,True,True,64,428.2726
gfx950,torch.bfloat16,128,128,64,32,16,32768,31,True,False,True,True,True,True,True,64,442.2928
gfx950,torch.bfloat16,128,128,64,32,16,15029,32,True,False,True,True,True,True,True,64,310.0983
gfx950,torch.bfloat16,128,128,64,32,16,5009,10,True,False,True,True,True,True,True,16,167.5837
gfx950,torch.bfloat16,128,128,64,32,16,15027,30,True,False,True,True,True,True,True,32,335.4859
gfx950,torch.bfloat16,128,128,64,32,16,10030,32,True,False,True,True,True,True,True,32,281.9571
gfx950,torch.bfloat16,128,128,64,32,16,32768,23,True,False,True,True,True,True,True,64,432.7526
gfx950,torch.bfloat16,128,128,64,32,16,32768,29,True,False,True,True,True,True,True,64,436.7752
gfx950,torch.bfloat16,128,128,64,32,16,32768,36,True,False,True,True,True,True,True,64,446.4089
gfx950,torch.bfloat16,128,128,64,32,16,32768,42,True,False,True,True,True,True,True,64,451.8218
gfx950,torch.bfloat16,128,128,64,32,16,32768,49,True,False,True,True,True,True,True,64,459.3179
gfx950,torch.bfloat16,128,128,64,32,16,32768,55,True,False,True,True,True,True,True,64,467.4355
gfx950,torch.bfloat16,128,128,64,32,16,13169,64,True,False,True,True,True,True,True,64,352.5261
gfx950,torch.bfloat16,128,128,64,32,16,12004,16,True,False,True,True,True,True,True,64,160.0675
gfx950,torch.bfloat16,128,128,64,32,16,1004,5,True,False,True,True,True,True,True,16,37.3507
gfx950,torch.bfloat16,128,128,64,32,16,3004,7,True,False,True,True,True,True,True,64,55.9541
gfx950,torch.bfloat16,128,128,64,32,16,9007,16,True,False,True,True,True,True,True,64,151.9098
gfx950,torch.bfloat16,128,128,64,32,16,32768,46,True,False,True,True,True,True,True,64,412.3061
gfx950,torch.bfloat16,128,128,64,32,16,18290,64,True,False,True,True,True,True,True,64,303.5070
gfx950,torch.bfloat16,128,128,64,32,16,10003,13,True,False,True,True,True,True,True,64,167.0444
gfx950,torch.bfloat16,128,128,64,32,16,32014,46,True,False,True,True,True,True,True,64,382.6585
gfx950,torch.bfloat16,128,128,64,32,16,18046,64,True,False,True,True,True,True,True,64,302.2606
gfx950,torch.bfloat16,128,128,64,32,16,6005,11,True,False,True,True,True,True,True,64,103.0204
gfx950,torch.bfloat16,128,128,64,32,16,21043,64,True,False,True,True,True,True,True,64,318.9800
gfx950,torch.bfloat16,128,128,64,32,16,3013,16,True,False,True,True,True,True,True,64,65.0015
gfx950,torch.bfloat16,128,128,64,32,16,10001,2,True,False,True,True,True,True,True,16,340.0291
gfx950,torch.bfloat16,128,128,64,32,16,32768,6,True,False,True,True,True,True,True,64,547.6207
gfx950,torch.bfloat16,128,128,64,32,16,30028,31,True,False,True,True,True,True,True,64,568.6769
gfx950,torch.bfloat16,128,128,64,32,16,10047,48,True,False,True,True,True,True,True,32,478.9446
gfx950,torch.bfloat16,128,128,64,32,16,32768,45,True,False,True,True,True,True,True,64,457.9267
gfx950,torch.bfloat16,128,128,64,32,16,10051,52,True,False,True,True,True,True,True,32,487.6262
gfx950,torch.bfloat16,128,128,64,32,16,9486,16,True,False,True,True,True,True,True,32,247.4327
gfx950,torch.bfloat16,128,128,64,32,16,20001,5,True,False,True,True,True,True,True,64,282.7075
gfx950,torch.bfloat16,128,128,64,32,16,4017,32,True,False,True,True,True,True,True,32,192.7270
gfx950,torch.bfloat16,128,128,64,32,16,9012,32,True,False,True,True,True,True,True,32,270.3530
gfx950,torch.bfloat16,128,128,64,32,16,32768,22,True,False,True,True,True,True,True,64,431.4502
gfx950,torch.bfloat16,128,128,64,32,16,32768,28,True,False,True,True,True,True,True,64,438.0960
gfx950,torch.bfloat16,128,128,64,32,16,21766,32,True,False,True,True,True,True,True,64,372.3247
gfx950,torch.bfloat16,128,128,64,32,16,5018,19,True,False,True,True,True,True,True,32,223.0867
gfx950,torch.bfloat16,128,128,64,32,16,30008,14,True,False,True,True,True,True,True,64,414.7373
gfx950,torch.bfloat16,128,128,64,32,16,32768,21,True,False,True,True,True,True,True,64,430.2063
gfx950,torch.bfloat16,128,128,64,32,16,24525,32,True,False,True,True,True,True,True,64,422.5918
gfx950,torch.bfloat16,128,128,64,32,16,5008,9,True,False,True,True,True,True,True,16,148.5953
gfx950,torch.bfloat16,128,128,64,32,16,22256,20,True,False,True,True,True,True,True,64,373.0432
gfx950,torch.bfloat16,128,128,64,32,16,27278,32,True,False,True,True,True,True,True,64,437.9992
gfx950,torch.bfloat16,128,128,64,32,16,11774,32,True,False,True,True,True,True,True,32,297.2157
gfx950,torch.bfloat16,128,128,64,32,16,5010,11,True,False,True,True,True,True,True,32,181.6830
gfx950,torch.bfloat16,128,128,64,32,16,6778,32,True,False,True,True,True,True,True,32,260.3073
gfx950,torch.bfloat16,128,128,64,32,16,30011,17,True,False,True,True,True,True,True,64,419.9870
gfx950,torch.bfloat16,128,128,64,32,16,9534,32,True,False,True,True,True,True,True,32,274.9289
gfx950,torch.bfloat16,128,128,64,32,16,32768,34,True,False,True,True,True,True,True,64,446.0489
gfx950,torch.bfloat16,128,128,64,32,16,32768,40,True,False,True,True,True,True,True,64,451.5233
gfx950,torch.bfloat16,128,128,64,32,16,32768,47,True,False,True,True,True,True,True,64,460.6650
gfx950,torch.bfloat16,128,128,64,32,16,32768,53,True,False,True,True,True,True,True,64,463.4027
gfx950,torch.bfloat16,128,128,64,32,16,32768,60,True,False,True,True,True,True,True,64,475.5468
gfx950,torch.bfloat16,128,128,64,32,16,23151,64,True,False,True,True,True,True,True,64,453.6914
gfx950,torch.bfloat16,128,128,64,32,16,10001,3,True,False,True,True,True,True,True,32,230.5269
gfx950,torch.bfloat16,128,128,64,32,16,32768,10,True,False,True,True,True,True,True,64,414.8509
gfx950,torch.bfloat16,128,128,64,32,16,32768,43,True,False,True,True,True,True,True,64,456.7698
gfx950,torch.bfloat16,128,128,64,32,16,32768,56,True,False,True,True,True,True,True,64,468.8492
gfx950,torch.bfloat16,128,128,64,32,16,10408,64,True,False,True,True,True,True,True,32,336.0113
gfx950,torch.bfloat16,128,128,64,32,16,5006,7,True,False,True,True,True,True,True,16,148.0113
gfx950,torch.bfloat16,128,128,64,32,16,32768,37,True,False,True,True,True,True,True,64,446.2233
gfx950,torch.bfloat16,128,128,64,32,16,32768,44,True,False,True,True,True,True,True,64,454.6235
gfx950,torch.bfloat16,128,128,64,32,16,32768,50,True,False,True,True,True,True,True,64,460.5043
gfx950,torch.bfloat16,128,128,64,32,16,32768,57,True,False,True,True,True,True,True,64,471.1644
gfx950,torch.bfloat16,128,128,64,32,16,32768,63,True,False,True,True,True,True,True,64,475.3326
gfx950,torch.bfloat16,128,128,64,32,16,5418,64,True,False,True,True,True,True,True,32,302.7230
gfx950,torch.bfloat16,128,128,64,32,16,5004,5,True,False,True,True,True,True,True,16,135.4951
gfx950,torch.bfloat16,128,128,64,32,16,32768,38,True,False,True,True,True,True,True,64,448.6873
gfx950,torch.bfloat16,128,128,64,32,16,32768,51,True,False,True,True,True,True,True,64,461.4132
gfx950,torch.bfloat16,128,128,64,32,16,32768,58,True,False,True,True,True,True,True,64,472.9349
gfx950,torch.bfloat16,128,128,64,32,16,32768,64,True,False,True,True,True,True,True,64,476.2981
gfx950,torch.bfloat16,128,128,64,32,16,428,64,True,False,True,True,True,True,True,64,97.9643
gfx950,torch.bfloat16,128,128,64,32,16,5005,6,True,False,True,True,True,True,True,16,144.7393
gfx950,torch.bfloat16,128,128,64,32,16,32768,13,True,False,True,True,True,True,True,64,417.8030
gfx950,torch.bfloat16,128,128,64,32,16,32768,26,True,False,True,True,True,True,True,64,434.5216
gfx950,torch.bfloat16,128,128,64,32,16,32768,33,True,False,True,True,True,True,True,64,444.4401
gfx950,torch.bfloat16,128,128,64,32,16,32768,39,True,False,True,True,True,True,True,64,451.0642
gfx950,torch.bfloat16,128,128,64,32,16,32768,52,True,False,True,True,True,True,True,64,463.0540
gfx950,torch.bfloat16,128,128,64,32,16,32768,59,True,False,True,True,True,True,True,64,472.9716
gfx950,torch.bfloat16,128,128,64,32,16,28142,64,True,False,True,True,True,True,True,64,467.3636
gfx950,torch.bfloat16,128,128,64,32,16,5012,13,True,False,True,True,True,True,True,32,175.8413
gfx950,torch.bfloat16,128,128,64,32,16,10007,9,True,False,True,True,True,True,True,16,260.2681
gfx950,torch.bfloat16,128,128,64,32,16,10017,19,True,False,True,True,True,True,True,32,265.9610
gfx950,torch.bfloat16,128,128,64,32,16,25010,15,True,False,True,True,True,True,True,64,410.7388
gfx950,torch.bfloat16,128,128,64,32,16,32768,35,True,False,True,True,True,True,True,64,444.0712
gfx950,torch.bfloat16,128,128,64,32,16,32768,48,True,False,True,True,True,True,True,64,459.9163
gfx950,torch.bfloat16,128,128,64,32,16,32768,61,True,False,True,True,True,True,True,64,471.3077
gfx950,torch.bfloat16,128,128,64,32,16,15924,64,True,False,True,True,True,True,True,64,357.0549
gfx950,torch.bfloat16,128,128,64,32,16,3000,3,True,False,True,True,True,True,True,64,52.6173
gfx950,torch.bfloat16,128,128,64,32,16,15001,16,True,False,True,True,True,True,True,64,184.7767
gfx950,torch.bfloat16,128,128,64,32,16,14002,16,True,False,True,True,True,True,True,64,182.2526
gfx950,torch.bfloat16,128,128,64,32,16,13003,16,True,False,True,True,True,True,True,64,179.0118
gfx950,torch.bfloat16,128,128,64,32,16,11005,16,True,False,True,True,True,True,True,64,170.4445
gfx950,torch.bfloat16,128,128,64,32,16,9003,12,True,False,True,True,True,True,True,64,149.1497
gfx950,torch.bfloat16,128,128,64,32,16,12001,13,True,False,True,True,True,True,True,64,175.2653
gfx950,torch.bfloat16,128,128,64,32,16,11002,13,True,False,True,True,True,True,True,64,171.9860
gfx950,torch.bfloat16,128,128,64,32,16,32013,45,True,False,True,True,True,True,True,64,383.1985
gfx950,torch.bfloat16,128,128,64,32,16,19045,64,True,False,True,True,True,True,True,64,306.7295
gfx950,torch.bfloat16,128,128,64,32,16,1021,22,True,False,True,True,True,True,True,32,59.4685
gfx950,torch.bfloat16,128,128,64,32,16,1013,14,True,False,True,True,True,True,True,32,50.1156
gfx950,torch.bfloat16,128,128,64,32,16,10004,14,True,False,True,True,True,True,True,64,153.6419
gfx950,torch.bfloat16,128,128,64,32,16,1053,54,True,False,True,True,True,True,True,32,110.2238
gfx950,torch.bfloat16,128,128,64,32,16,32011,43,True,False,True,True,True,True,True,64,381.0297
gfx950,torch.bfloat16,128,128,64,32,16,1025,26,True,False,True,True,True,True,True,32,63.6263
gfx950,torch.bfloat16,128,128,64,32,16,2011,13,True,False,True,True,True,True,True,32,61.8837
gfx950,torch.bfloat16,128,128,64,32,16,27016,43,True,False,True,True,True,True,True,64,366.1943
gfx950,torch.bfloat16,128,128,64,32,16,1055,56,True,False,True,True,True,True,True,32,113.2306
gfx950,torch.bfloat16,128,128,64,32,16,8056,64,True,False,True,True,True,True,True,64,163.5444
gfx950,torch.bfloat16,128,128,64,32,16,4016,20,True,False,True,True,True,True,True,64,87.4490
gfx950,torch.bfloat16,128,128,64,32,16,32020,52,True,False,True,True,True,True,True,64,388.0482
gfx950,torch.bfloat16,128,128,64,32,16,12052,64,True,False,True,True,True,True,True,64,225.7348
gfx950,torch.bfloat16,128,128,64,32,16,18964,16,True,False,True,True,True,True,True,32,463.5611
gfx950,torch.bfloat16,128,128,64,32,16,8969,16,True,False,True,True,True,True,True,16,373.5863
gfx950,torch.bfloat16,128,128,64,32,16,21730,16,True,False,True,True,True,True,True,32,495.6184
gfx950,torch.bfloat16,128,128,64,32,16,20001,3,True,False,True,True,True,True,True,32,450.1561
gfx950,torch.bfloat16,128,128,64,32,16,10003,4,True,False,True,True,True,True,True,16,393.4882
gfx950,torch.bfloat16,128,128,64,32,16,11730,15,True,False,True,True,True,True,True,16,423.9014
gfx950,torch.bfloat16,128,128,64,32,16,15241,32,True,False,True,True,True,True,True,32,468.0036
gfx950,torch.bfloat16,128,128,64,32,16,18006,32,True,False,True,True,True,True,True,32,489.4688
gfx950,torch.bfloat16,128,128,64,32,16,30004,7,True,False,True,True,True,True,True,64,535.8877
gfx950,torch.bfloat16,128,128,64,32,16,30760,32,True,False,True,True,True,True,True,64,569.6090
gfx950,torch.bfloat16,128,128,64,32,16,10006,7,True,False,True,True,True,True,True,16,365.5359
